POR ASTR,Porites astreoides,Mustard Hill Coral,HARD CORALS,
POR BRAN,Porites branneri,Blue Crust Coral,HARD CORALS,
POR COLO,Porites colonensis,Honeycomb Plate Coral,HARD CORALS,
POR DIVA,Porites divaricata ,Porites divaricata,HARD CORALS,
POR FURC,Porites furcata,Porites furcata,HARD CORALS,
POR PORI,Porites porites,Finger Coral,HARD CORALS,
POR SPE.,Porites spp,Porites spp,HARD CORALS,
PSU CLIV,Psuedodiploria clivosa,Knobby Brain Coral,HARD CORALS,
PSU STRI,Psuedodiploria strigosa,Symmetrical Brain Coral,HARD CORALS,
SCL SPE.,Scleractinia spp,Unknown Coral,HARD CORALS,
SCO CUBE,Scolymia cubensis,Artichoke Coral,HARD CORALS,
SCO LACE,Scolymia lacera,Atlantic Mushroom Coral,HARD CORALS,
SCO SPE.,Scolymia spp,Scolymia spp,HARD CORALS,
SID RADI,Siderastrea radians,Lesser Starlet Coral,HARD CORALS,
SID SIDE,Siderastrea siderea,Massive Starlet Coral,HARD CORALS,
SID SPE.,Siderastrea spp,Starlett Coral,HARD CORALS,
SOL BOUR,Solenastrea bournoni,Smooth Star Coral,HARD CORALS,
SOL SPE.,Solenastrea spp,Solenastrea spp,HARD CORALS,
STE INTE,Stephanocoenia intercepta,Blushing Star Coral,HARD CORALS,
TUB COCC,Tubastraea coccinea,Orange Cup Coral,HARD CORALS,
BAR SUB.,Bare Substrate,Bare Substrate,Substrate,
CLI SPE.,Cliona spp,Cliona species,SPONGE,
CYA SPE.,Cyanophyta spp,Cyanobacteria,CYANOBACTERIA,
DIC SPE.,Dictyota spp,Dictyota,ALGAE,
GOR ENCR,Gorgonians Encrusting,Encrusting Gorgonian,SOFT CORALS,
GOR GORG,Gorgonacea plumes/rods/whips,Gorgonians,SOFT CORALS,
HAL SPE.,Halimeda spp,Halimeda,ALGAE,
LOB SPE.,Lobophora spp,Lobophora,ALGAE,
MAC CALC,Macro Calcareous,Macro Calcareous,ALGAE,
MAC FLES,Macro Fleshy,Macro Fleshy,ALGAE,
MAG SPE.,Magnoliophyta spp,Seagrass,SEAGRASSES,
MIL SPE.,Millepora spp,Fire Coral spp,HYDROCORALS,
OTH SPE.,Other spp,Other species,OTHER,
PAL SPE.,Palythoa spp,Zoanthids,OTHER INVERTEBRATES,
PEY SPE.,Peysonnellia,Peysonnellia,ALGAE,
SPO OTHE,Porifera spp,Sponges other,SPONGES,
RHO CRUS,Rhodophyta cru. spp,CCA Crustose Coralline Algae,ALGAE,
TUR FREE,Turf Algae Free of Sediment,Turf Algae Free of Sediment,ALGAE,
TUR SEDI,Turf Algae with Sediment,Turf Algae with Sediment,ALGAE,
